epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2025-01-01T00:00:00.000000Z,869794.0287566687,3729208.7642183183,-5555156.326851922,-5699.447436472692,-5440.966504820405,149.36653596191547
2025-01-01T00:00:01.000000Z,864637.4903780344,3723638.910893219,-5555003.353712583,-5700.569211426648,-5445.7867714764825,156.5817773500189
2025-01-01T00:00:02.000000Z,859477.3463042027,3718057.725212667,-5554832.296585484,-5701.677976852552,-5450.610006786332,163.82763281998618
2025-01-01T00:00:03.000000Z,854316.3928839037,3712477.3119292646,-5554661.239458386,-5702.787476019239,-5455.433109321348,171.07348828995345
2025-01-01T00:00:04.000000Z,849154.6302023487,3706897.6711313664,-5554490.182331287,-5703.89770891324,-5460.256079000169,178.3193437599207
2025-01-01T00:00:05.000000Z,843992.0583447575,3701318.8029073216,-5554319.125204189,-5705.008675521077,-5465.078915741437,185.565199229888
2025-01-01T00:00:06.000000Z,838817.838092237,3695692.2148123737,-5554074.866467547,-5706.063949477997,-5469.913489369086,192.93529693719685
2025-01-01T00:00:07.000000Z,833642.8017619401,3690066.401049038,-5553830.607730905,-5707.119958853206,-5474.747938125746,200.3053946445057
2025-01-01T00:00:08.000000Z,828466.9494392852,3684441.361706412,-5553586.348994262,-5708.176703634103,-5479.582261929873,207.67549235181457
2025-01-01T00:00:09.000000Z,823290.2812096996,3678817.096873585,-5553342.090257619,-5709.234183808076,-5484.4164606999175,215.0455900591234
2025-01-01T00:00:10.000000Z,818112.7971586195,3673193.6066396376,-5553097.8315209765,-5710.292399362507,-5489.250534354338,222.41568776643228
2025-01-01T00:00:11.000000Z,812934.4973714891,3667570.8910936415,-5552853.572784334,-5711.351350284774,-5494.08448281159,229.78578547374113
2025-01-01T00:00:12.000000Z,807755.3819337615,3661948.9503246606,-5552609.314047692,-5712.411036562236,-5498.91830599013,237.15588318105
2025-01-01T00:00:13.000000Z,802575.4509308989,3656327.78442175,-5552365.055311049,-5713.471458182255,-5503.752003808416,244.52598088835887
2025-01-01T00:00:14.000000Z,797394.7044483718,3650707.3934739577,-5552120.796574407,-5714.532615132181,-5508.5855761849125,251.89607859566772
2025-01-01T00:00:15.000000Z,792213.1425716588,3645087.777570322,-5551876.537837765,-5715.594507399356,-5513.4190230380755,259.26617630297653
2025-01-01T00:00:16.000000Z,787030.7653862484,3639468.936799874,-5551632.279101122,-5716.657134971115,-5518.252344286372,266.63627401028543
2025-01-01T00:00:17.000000Z,781847.5729776366,3633850.8712516343,-5551388.02036448,-5717.720497834781,-5523.085539848262,274.0063717175943
2025-01-01T00:00:18.000000Z,776663.5654313286,3628233.581014619,-5551143.761627838,-5718.784595977675,-5527.918609642212,281.3764694249031
2025-01-01T00:00:19.000000Z,771478.7428328381,3622617.066177831,-5550899.502891195,-5719.849429387105,-5532.751553586687,288.74656713221196
2025-01-01T00:00:20.000000Z,766293.1052676876,3617001.32683027,-5550655.244154553,-5720.9149980503735,-5537.584371600155,296.11666483952087
2025-01-01T00:00:21.000000Z,761106.652821408,3611386.363060922,-5550410.985417911,-5721.981301954777,-5542.417063601083,303.4867625468297
2025-01-01T00:00:22.000000Z,755889.9317746361,3605624.099970073,-5549935.72119271,-5722.862111538672,-5547.279999224367,311.25205110291006
2025-01-01T00:00:23.000000Z,750672.3744223801,3599862.6169317886,-5549460.45696751,-5723.743660768446,-5552.142835832036,319.0173396589904
2025-01-01T00:00:24.000000Z,745453.9808506672,3594101.9140373957,-5548985.1927423095,-5724.625949634337,-5557.005573342083,326.78262821507076
2025-01-01T00:00:25.000000Z,740234.7511455332,3588341.991378211,-5548509.928517109,-5725.50897812658,-5561.868211672493,334.5479167711511
2025-01-01T00:00:26.000000Z,735014.6853930227,3582582.8490455444,-5548034.664291909,-5726.3927462353995,-5566.730750741256,342.31320532723146
2025-01-01T00:00:27.000000Z,729793.7836791897,3576824.4871306955,-5547559.400066709,-5727.277253951014,-5571.593190466362,350.0784938833118
2025-01-01T00:00:28.000000Z,724572.046090096,3571066.9057249567,-5547084.135841509,-5728.162501263628,-5576.455530765801,357.84378243939216
2025-01-01T00:00:29.000000Z,719349.4727118138,3565310.104919612,-5546608.871616309,-5729.048488163448,-5581.317771557565,365.6090709954725
2025-01-01T00:00:30.000000Z,714126.0636304226,3559554.084805937,-5546133.607391108,-5729.935214640662,-5586.179912759647,373.37435955155286
2025-01-01T00:00:31.000000Z,708901.8189320118,3553798.845475198,-5545658.343165908,-5730.822680685457,-5591.04195429004,381.1396481076331
2025-01-01T00:00:32.000000Z,703676.7387026795,3548044.3870186536,-5545183.078940707,-5731.710886288011,-5595.903896066737,388.9049366637136
2025-01-01T00:00:33.000000Z,698450.823028532,3542290.709527555,-5544707.814715507,-5732.59983143849,-5600.765738007736,396.6702252197939
2025-01-01T00:00:34.000000Z,693224.0719956856,3536537.8130931435,-5544232.550490308,-5733.489516127056,-5605.62748003103,404.4355137758742
2025-01-01T00:00:35.000000Z,687996.4856902645,3530785.6978066526,-5543757.286265107,-5734.379940343864,-5610.48912205462,412.2008023319546
2025-01-01T00:00:36.000000Z,682768.064198402,3525034.363759306,-5543282.022039906,-5735.271104079053,-5615.3506639965,419.96609088803496
2025-01-01T00:00:37.000000Z,677538.8076062407,3519283.8110423223,-5542806.757814706,-5736.163007322766,-5620.212105774672,427.7313794441153
2025-01-01T00:00:38.000000Z,672308.7159999316,3513534.0397469075,-5542331.493589506,-5737.055650065126,-5625.073447307134,435.49666800019565
2025-01-01T00:00:39.000000Z,667077.7894656346,3507785.049964262,-5541856.229364306,-5737.949032296258,-5629.934688511887,443.261956556276
2025-01-01T00:00:40.000000Z,661846.0280895188,3502036.8417855795,-5541380.965139106,-5738.843154006272,-5634.795829306934,451.0272451123563
2025-01-01T00:00:41.000000Z,656613.4319577614,3496289.41530204,-5540905.700913905,-5739.738015185274,-5639.656869610274,458.7925336684367
2025-01-01T00:00:42.000000Z,651380.0011565497,3490542.770604819,-5540430.436688705,-5740.63361582336,-5644.517809339914,466.55782222451705
2025-01-01T00:00:43.000000Z,646145.7357720784,3484796.9077850827,-5539955.172463505,-5741.529955910617,-5649.378648413855,474.3231107805974
2025-01-01T00:00:44.000000Z,640910.6358905523,3479051.826933989,-5539479.908238304,-5742.427035437127,-5654.239386750107,482.08839933667775
2025-01-01T00:00:45.000000Z,635674.7015981843,3473307.528142686,-5539004.644013105,-5743.324854392963,-5659.100024266671,489.8536878927581
2025-01-01T00:00:46.000000Z,630437.9329811964,3467564.0115023153,-5538529.379787904,-5744.223412768188,-5663.960560881558,497.61897644883845
2025-01-01T00:00:47.000000Z,625200.3301258199,3461821.2771040094,-5538054.115562703,-5745.122710552859,-5668.8209965127735,505.38426500491875
2025-01-01T00:00:48.000000Z,619961.893118294,3456079.325038892,-5537578.851337504,-5746.022747737023,-5673.681331078327,513.1495535609992
2025-01-01T00:00:49.000000Z,614722.6220448673,3450338.1553980797,-5537103.587112303,-5746.923524310722,-5678.5415644962295,520.9148421170795
2025-01-01T00:00:50.000000Z,609482.5169917975,3444597.7682726784,-5536628.322887102,-5747.825040263989,-5683.40169668449,528.6801306731597
2025-01-01T00:00:51.000000Z,604241.5780453506,3438858.163753787,-5536153.058661903,-5748.727295586847,-5688.261727561122,536.4454192292402
2025-01-01T00:00:52.000000Z,598999.8052918018,3433119.341932497,-5535677.7944367025,-5749.63029026931,-5693.121657044135,544.2107077853206
2025-01-01T00:00:53.000000Z,593757.1988174352,3427381.3028998896,-5535202.530211503,-5750.53402430139,-5697.981485051546,551.9759963414008
2025-01-01T00:00:54.000000Z,588513.7587085435,3421644.0467470377,-5534727.265986302,-5751.438497673086,-5702.841211501368,559.7412848974813
2025-01-01T00:00:55.000000Z,583269.4850514284,3415907.573565007,-5534252.001761101,-5752.34371037439,-5707.700836311613,567.5065734535616
2025-01-01T00:00:56.000000Z,578024.3779324004,3410171.883444854,-5533776.737535901,-5753.249662395285,-5712.560359400303,575.271862009642
2025-01-01T00:00:57.000000Z,572778.4374377788,3404436.9764776267,-5533301.473310702,-5754.156353725749,-5717.419780685452,583.0371505657223
2025-01-01T00:00:58.000000Z,567531.663653892,3398702.8527543647,-5532826.209085501,-5755.063784355749,-5722.279100085078,590.8024391218026
2025-01-01T00:00:59.000000Z,562284.0566670769,3392969.5123661007,-5532350.944860301,-5755.971954275245,-5727.138317517201,598.567727677883
2025-01-01T00:01:00.000000Z,557035.6165636795,3387236.9554038565,-5531875.6806351,-5756.88086347419,-5731.99743289984,606.3330162339633
2025-01-01T00:01:01.000000Z,551786.3434300545,3381505.181958647,-5531400.4164098995,-5757.790511942526,-5736.856446151017,614.0983047900437
2025-01-01T00:01:02.000000Z,546536.2373525653,3375774.1921214773,-5530925.1521847,-5758.70089967019,-5741.715357188751,621.863593346124
2025-01-01T00:01:03.000000Z,541285.2984175849,3370043.985983347,-5530449.8879595,-5759.6120266471125,-5746.574165931068,629.6288819022043
2025-01-01T00:01:04.000000Z,536033.5267114938,3364314.563635243,-5529974.623734299,-5760.52389286321,-5751.43287229599,637.3941704582847
2025-01-01T00:01:05.000000Z,530780.9223206829,3358585.925168148,-5529499.359509099,-5761.436498308395,-5756.291476201542,645.1594590143651
2025-01-01T00:01:06.000000Z,525521.3337092594,3352818.8891705484,-5528959.503031871,-5762.293862302668,-5761.155110601964,653.0366003526459
2025-01-01T00:01:07.000000Z,520233.3158948611,3346876.9866331527,-5528130.074813592,-5762.901002538355,-5766.041680616909,661.415185809487
2025-01-01T00:01:08.000000Z,514944.43432350067,3340935.8731725244,-5527300.646595312,-5763.508886082716,-5770.928192691813,669.7937712663281
2025-01-01T00:01:09.000000Z,509654.6890821419,3334995.548883036,-5526471.218377031,-5764.117512930529,-5775.814646744251,678.1723567231692
2025-01-01T00:01:10.000000Z,504364.0802577583,3329056.0138590536,-5525641.790158752,-5764.726883076558,-5780.701042691807,686.5509421800103
2025-01-01T00:01:11.000000Z,499072.6079373322,3323117.268194935,-5524812.361940471,-5765.336996515568,-5785.587380452057,694.9295276368515
2025-01-01T00:01:12.000000Z,493780.2722078551,3317179.311985027,-5523982.9337221915,-5765.947853242306,-5790.473659942582,703.3081130936926
2025-01-01T00:01:13.000000Z,488487.0731563277,3311242.1453236723,-5523153.5055039115,-5766.559453251522,-5795.359881080961,711.6866985505338
