sat_id,dst_ground_id,t_gen_s,t_arrive_s,data_age_s,n_hops,path
LEO_P5_S3,gs7,1735689600.0,1735689600.0127995,0.012799501419067383,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689600.0,1735689600.0225859,0.02258586883544922,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689600.0,1735689600.0018353,0.0018353462219238281,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689600.0,1735689600.0172696,0.017269611358642578,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689600.0,1735689600.0314157,0.031415700912475586,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689600.0,1735689600.0116117,0.011611700057983398,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689600.0,1735689600.0294287,0.029428720474243164,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689601.0,1735689601.0128117,0.012811660766601562,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689601.0,1735689601.0225942,0.022594213485717773,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689601.0,1735689601.0018342,0.0018341541290283203,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689601.0,1735689601.0172827,0.017282724380493164,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689601.0,1735689601.0314264,0.031426429748535156,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689601.0,1735689601.0116272,0.011627197265625,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689601.0,1735689601.029431,0.02943110466003418,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689602.0,1735689602.0128238,0.012823820114135742,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689602.0,1735689602.0226028,0.02260279655456543,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689602.0,1735689602.0018332,0.001833200454711914,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689602.0,1735689602.0172958,0.01729583740234375,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689602.0,1735689602.0314372,0.03143715858459473,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689602.0,1735689602.0116432,0.011643171310424805,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689602.0,1735689602.029434,0.0294339656829834,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689603.0,1735689603.0128362,0.012836217880249023,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689603.0,1735689603.0226114,0.022611379623413086,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689603.0,1735689603.0018327,0.001832723617553711,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689603.0,1735689603.017309,0.017308950424194336,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689603.0,1735689603.0314476,0.031447649002075195,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689603.0,1735689603.0116594,0.011659383773803711,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689603.0,1735689603.029437,0.02943706512451172,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689604.0,1735689604.0128484,0.012848377227783203,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689604.0,1735689604.0226197,0.02261972427368164,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689604.0,1735689604.0018325,0.0018324851989746094,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689604.0,1735689604.017322,0.017322063446044922,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689604.0,1735689604.0314584,0.031458377838134766,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689604.0,1735689604.0116758,0.011675834655761719,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689604.0,1735689604.0294406,0.029440641403198242,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689605.0,1735689605.0128605,0.012860536575317383,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689605.0,1735689605.0226283,0.022628307342529297,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689605.0,1735689605.0018325,0.0018324851989746094,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689605.0,1735689605.0173352,0.017335176467895508,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689605.0,1735689605.031469,0.031469106674194336,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689605.0,1735689605.0116928,0.01169276237487793,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689605.0,1735689605.0294445,0.029444456100463867,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689606.0,1735689606.0128727,0.012872695922851562,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689606.0,1735689606.0226367,0.02263665199279785,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689606.0,1735689606.0018327,0.001832723617553711,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689606.0,1735689606.0173483,0.017348289489746094,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689606.0,1735689606.0314798,0.031479835510253906,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689606.0,1735689606.0117097,0.01170969009399414,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689606.0,1735689606.0294483,0.029448270797729492,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689607.0,1735689607.0128846,0.01288461685180664,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689607.0,1735689607.0226452,0.022645235061645508,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689607.0,1735689607.0018332,0.001833200454711914,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689607.0,1735689607.0173612,0.017361164093017578,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689607.0,1735689607.0314903,0.031490325927734375,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689607.0,1735689607.011727,0.011727094650268555,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689607.0,1735689607.0294526,0.02945256233215332,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689608.0,1735689608.0128968,0.01289677619934082,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689608.0,1735689608.0226536,0.022653579711914062,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689608.0,1735689608.0018342,0.0018341541290283203,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689608.0,1735689608.0173743,0.017374277114868164,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689608.0,1735689608.031501,0.031501054763793945,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689608.0,1735689608.0117447,0.01174473762512207,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689608.0,1735689608.029457,0.02945709228515625,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689609.0,1735689609.012909,0.012908935546875,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689609.0,1735689609.022662,0.022661924362182617,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689609.0,1735689609.0018353,0.0018353462219238281,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689609.0,1735689609.0173874,0.01738739013671875,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689609.0,1735689609.0315115,0.031511545181274414,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689609.0,1735689609.0117626,0.011762619018554688,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689609.0,1735689609.029462,0.029462099075317383,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689610.0,1735689610.012921,0.01292109489440918,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689610.0,1735689610.0226705,0.022670507431030273,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689610.0,1735689610.001837,0.001837015151977539,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689610.0,1735689610.0174003,0.017400264739990234,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689610.0,1735689610.0315223,0.031522274017333984,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689610.0,1735689610.011781,0.011780977249145508,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689610.0,1735689610.0294673,0.029467344284057617,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689611.0,1735689611.0129333,0.01293325424194336,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689611.0,1735689611.0226789,0.022678852081298828,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689611.0,1735689611.001839,0.0018389225006103516,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689611.0,1735689611.0174134,0.01741337776184082,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689611.0,1735689611.031533,0.031533002853393555,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689611.0,1735689611.0117998,0.011799812316894531,2,LEO_P7_S2->LEO_P6_S2->gs2
LEO_P7_S3,gs2,1735689611.0,1735689611.029473,0.029473066329956055,2,LEO_P7_S3->LEO_P6_S2->gs2
LEO_P5_S3,gs7,1735689612.0,1735689612.0129454,0.012945413589477539,1,LEO_P5_S3->gs7
LEO_P5_S4,gs7,1735689612.0,1735689612.0226872,0.022687196731567383,1,LEO_P5_S4->gs7
LEO_P6_S2,gs2,1735689612.0,1735689612.0018413,0.0018413066864013672,1,LEO_P6_S2->gs2
LEO_P6_S3,gs1,1735689612.0,1735689612.0174265,0.017426490783691406,1,LEO_P6_S3->gs1
LEO_P6_S4,gs1,1735689612.0,1735689612.0315437,0.031543731689453125,2,LEO_P6_S4->LEO_P6_S3->gs1
LEO_P7_S2,gs2,1735689612.0,1735689612.011819,0.011818885803222656,2,LEO_P7_S2->LEO_P6_S2->gs2
