t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-20T15:47:31.475959Z,-59200.25426659789,16552169.999986364,24539601.18616731,-4876.62580106809,-6.368976579904483,-3.0422528025229467
1.0,2025-10-20T15:47:32.476194Z,-61662.87275542957,16552172.361299163,24539597.955335762,-4876.625193619385,-6.535356437919012,-3.4194102614209605
2.0,2025-10-20T15:47:33.476196Z,-64125.488731251025,16552174.533792382,24539593.781611305,-4876.624448992111,-6.701735921577079,-3.7965672237626173
3.0,2025-10-20T15:47:34.476198Z,-66588.10469860992,16552177.153455338,24539589.607886847,-4876.623754561443,-6.868115545809371,-4.173724186104274
4.0,2025-10-20T15:47:35.476199Z,-69050.72060538488,16552180.220288042,24539585.434162386,-4876.623110327402,-7.034495304179816,-4.5508811484459315
5.0,2025-10-20T15:47:36.476200Z,-71513.33639945461,16552183.734290488,24539581.26043793,-4876.622516289999,-7.200875190252346,-4.928038110787588
6.0,2025-10-20T15:47:37.476201Z,-73975.93896714246,16552185.151510207,24539573.315157656,-4876.621222952629,-7.367252878478692,-5.305192681152704
7.0,2025-10-20T15:47:38.476202Z,-76438.5416888984,16552187.015897773,24539565.369877387,-4876.619979811593,-7.533630790843317,-5.68234725151782
8.0,2025-10-20T15:47:39.476203Z,-78901.14451260134,16552189.327453213,24539557.424597114,-4876.6187868669185,-7.700008920910182,-6.059501821882936
9.0,2025-10-20T15:47:40.476204Z,-81363.74738613014,16552192.086176557,24539549.47931684,-4876.61764411863,-7.866387262243249,-6.436656392248052
10.0,2025-10-20T15:47:41.476205Z,-83826.3502573637,16552195.292067816,24539541.534036573,-4876.616551566751,-8.03276580840647,-6.813810962613168
11.0,2025-10-20T15:47:42.476206Z,-86288.95307418088,16552198.945127005,24539533.5887563,-4876.615509211306,-8.199144552963809,-7.190965532978284
12.0,2025-10-20T15:47:43.476207Z,-88751.55578446054,16552203.045354137,24539525.64347603,-4876.614517052318,-8.365523489479209,-7.5681201033434
13.0,2025-10-20T15:47:44.476208Z,-91214.15833608156,16552207.592749208,24539517.698195755,-4876.613575089808,-8.531902611516623,-7.945274673708515
14.0,2025-10-20T15:47:45.476209Z,-93676.76067692279,16552212.587312214,24539509.752915483,-4876.612683323799,-8.69828191264,-8.322429244073632
15.0,2025-10-20T15:47:46.476210Z,-96139.36275486315,16552218.029043145,24539501.807635214,-4876.611841754309,-8.864661386413285,-8.699583814438748
16.0,2025-10-20T15:47:47.476210Z,-98601.96451778145,16552223.917942006,24539493.86235494,-4876.611050381363,-9.031041026400423,-9.076738384803864
17.0,2025-10-20T15:47:48.476211Z,-101064.5659135566,16552230.254008755,24539485.917074673,-4876.610309204978,-9.197420826165352,-9.453892955168978
18.0,2025-10-20T15:47:49.476212Z,-103527.16689006744,16552237.037243387,24539477.9717944,-4876.609618225172,-9.363800779272017,-9.831047525534094
19.0,2025-10-20T15:47:50.476213Z,-105989.76739519289,16552244.26764586,24539470.026514128,-4876.608977441965,-9.530180879284352,-10.208202095899212
20.0,2025-10-20T15:47:51.476214Z,-108452.36737681173,16552251.945216147,24539462.08123386,-4876.608386855373,-9.696561119766288,-10.585356666264328
21.0,2025-10-20T15:47:52.476215Z,-110914.96678280295,16552260.069954209,24539454.135953587,-4876.607846465415,-9.862941494281772,-10.962511236629442
22.0,2025-10-20T15:47:53.476216Z,-113377.46202200043,16552258.466158623,24539431.10484131,-4876.6043583714845,-10.029307232882948,-11.339649747391688
23.0,2025-10-20T15:47:54.476217Z,-115839.95806537643,16552257.309515674,24539408.073729035,-4876.600920472081,-10.195673529866383,-11.716788258153933
24.0,2025-10-20T15:47:55.476218Z,-118302.45486081149,16552256.60002546,24539385.042616755,-4876.597532767269,-10.362040378796236,-12.093926768916177
25.0,2025-10-20T15:47:56.476219Z,-120764.95235618608,16552256.33768809,24539362.01150448,-4876.5941952571075,-10.528407773236662,-12.471065279678422
26.0,2025-10-20T15:47:57.476220Z,-123227.45049938075,16552256.522503655,24539338.980392203,-4876.590907941659,-10.694775706751813,-12.848203790440667
27.0,2025-10-20T15:47:58.476221Z,-125689.94923827598,16552257.154472256,24539315.949279927,-4876.587670820984,-10.86114417290583,-13.225342301202911
28.0,2025-10-20T15:47:59.476221Z,-128152.44852075222,16552258.23359397,24539292.918167647,-4876.584483895144,-11.027513165262848,-13.602480811965156
29.0,2025-10-20T15:48:00.476222Z,-130614.94829469004,16552259.75986888,24539269.88705537,-4876.581347164198,-11.193882677387002,-13.9796193227274
30.0,2025-10-20T15:48:01.476223Z,-133077.44850796982,16552261.733297069,24539246.855943095,-4876.578260628202,-11.360252702842413,-14.356757833489647
31.0,2025-10-20T15:48:02.476224Z,-135539.94910847204,16552264.153878598,24539223.82483082,-4876.575224287216,-11.5266232351932,-14.73389634425189
32.0,2025-10-20T15:48:03.476225Z,-138002.45004407712,16552267.021613535,24539200.79371854,-4876.572238141297,-11.692994268003483,-15.111034855014134
33.0,2025-10-20T15:48:04.476226Z,-140464.9512626656,16552270.336501949,24539177.762606263,-4876.569302190504,-11.859365794837368,-15.488173365776381
34.0,2025-10-20T15:48:05.476227Z,-142927.45271211784,16552274.098543879,24539154.731493987,-4876.566416434889,-12.025737809258954,-15.865311876538627
35.0,2025-10-20T15:48:06.476228Z,-145389.95434031426,16552278.30773939,24539131.700381715,-4876.563580874509,-12.192110304832342,-16.24245038730087
36.0,2025-10-20T15:48:07.476229Z,-147852.4560951353,16552282.964088522,24539108.669269435,-4876.560795509419,-12.358483275121618,-16.619588898063114
37.0,2025-10-20T15:48:08.476230Z,-150314.95792446143,16552288.067591311,24539085.63815716,-4876.558060339672,-12.524856713690877,-16.996727408825357
38.0,2025-10-20T15:48:09.476231Z,-152777.45977617297,16552293.618247794,24539062.607044883,-4876.555375365323,-12.69123061410419,-17.3738659195876
39.0,2025-10-20T15:48:10.476232Z,-155239.9615981504,16552299.616058001,24539039.575932607,-4876.552740586422,-12.857604969925639,-17.75100443034985
40.0,2025-10-20T15:48:11.476233Z,-157702.46333827413,16552306.061021946,24539016.54482033,-4876.550156003024,-13.023979774719292,-18.128142941112095
41.0,2025-10-20T15:48:12.476233Z,-160164.9649444245,16552312.953139666,24538993.51370805,-4876.547621615179,-13.190355022049214,-18.50528145187434
42.0,2025-10-20T15:48:13.476234Z,-162627.46636448195,16552320.292411162,24538970.482595775,-4876.545137422936,-13.35673070547947,-18.882419962636583
43.0,2025-10-20T15:48:14.476235Z,-165089.96754632684,16552328.078836447,24538947.4514835,-4876.5427034263475,-13.523106818574103,-19.259558473398826
44.0,2025-10-20T15:48:15.476236Z,-167552.46843783968,16552336.31241551,24538924.420371223,-4876.54031962546,-13.689483354897176,-19.636696984161073
45.0,2025-10-20T15:48:16.476237Z,-170014.96898690073,16552344.993148366,24538901.389258943,-4876.537986020325,-13.855860308012732,-20.013835494923317
46.0,2025-10-20T15:48:17.476238Z,-172477.46914139038,16552354.121035004,24538878.358146667,-4876.535702610988,-14.022237671484804,-20.390974005685564
47.0,2025-10-20T15:48:18.476239Z,-174939.9688491891,16552363.696075404,24538855.32703439,-4876.533469397497,-14.188615438877436,-20.768112516447808
48.0,2025-10-20T15:48:19.476240Z,-177402.46805817724,16552373.718269555,24538832.295922115,-4876.531286379899,-14.354993603754655,-21.14525102721005
49.0,2025-10-20T15:48:20.476241Z,-179864.96671623527,16552384.187617434,24538809.264809836,-4876.52915355824,-14.521372159680492,-21.5223895379723
50.0,2025-10-20T15:48:21.476242Z,-182327.46477124345,16552395.104119001,24538786.23369756,-4876.527070932566,-14.687751100218962,-21.899528048734542
51.0,2025-10-20T15:48:22.476243Z,-184789.9621710822,16552406.467774238,24538763.202585284,-4876.525038502919,-14.854130418934082,-22.276666559496785
52.0,2025-10-20T15:48:23.476244Z,-187252.458863632,16552418.278583093,24538740.171473008,-4876.523056269344,-15.020510109389871,-22.65380507025903
53.0,2025-10-20T15:48:24.476245Z,-189714.9547967732,16552430.536545534,24538717.140360728,-4876.521124231886,-15.18689016515034,-23.030943581021276
54.0,2025-10-20T15:48:25.476246Z,-192177.44991838618,16552443.241661502,24538694.109248452,-4876.519242390585,-15.353270579779476,-23.408082091783523
55.0,2025-10-20T15:48:26.476247Z,-194639.94417635133,16552456.393930946,24538671.078136176,-4876.517410745483,-15.5196513468413,-23.785220602545767
56.0,2025-10-20T15:48:27.476248Z,-197102.43751854915,16552469.993353806,24538648.0470239,-4876.515629296625,-15.686032459899804,-24.16235911330801
57.0,2025-10-20T15:48:28.476249Z,-199564.9298928599,16552484.039930012,24538625.015911624,-4876.513898044045,-15.852413912518966,-24.539497624070254
58.0,2025-10-20T15:48:29.476250Z,-202027.4212471641,16552498.533659501,24538601.984799344,-4876.5122169877895,-16.01879569826278,-24.9166361348325
59.0,2025-10-20T15:48:30.476251Z,-204489.9115293422,16552513.474542204,24538578.953687068,-4876.510586127894,-16.185177810695244,-25.293774645594745
60.0,2025-10-20T15:48:31.476252Z,-206952.40068727452,16552528.862578023,24538555.922574792,-4876.509005464397,-16.35156024338031,-25.67091315635699
61.0,2025-10-20T15:48:32.476253Z,-209414.88866884162,16552544.697766883,24538532.891462516,-4876.507474997337,-16.517942989881984,-26.048051667119235
62.0,2025-10-20T15:48:33.476254Z,-211877.37542192382,16552560.98010869,24538509.860350236,-4876.505994726753,-16.684326043764212,-26.42519017788148
