t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2025-10-25T21:11:59.179330Z,-3729208.764218317,-869794.0287566662,5555156.326851922,-5440.966504820407,-5699.447436472688,149.36653596191732
1.0,2025-10-25T21:12:00.179567Z,-3734774.5497370334,-874948.6309733163,5555302.090849584,-5436.147359045985,-5698.320938151681,142.16348980547977
2.0,2025-10-25T21:12:01.179569Z,-3740329.013471491,-880099.5805214462,5555429.892812489,-5431.331253385391,-5697.181631789503,134.99080643118688
3.0,2025-10-25T21:12:02.179570Z,-3745884.248262821,-885249.7246174078,5555557.694775394,-5426.515010500226,-5696.0430581240835,127.81812305689397
4.0,2025-10-25T21:12:03.179571Z,-3751440.2540230863,-890399.0631761403,5555685.4967383,-5421.698630471737,-5694.905217169376,120.64543968260107
5.0,2025-10-25T21:12:04.179572Z,-3756997.0306643443,-895547.5961125918,5555813.298701205,-5416.882113381173,-5693.768108939323,113.47275630830816
6.0,2025-10-25T21:12:05.179573Z,-3762506.2867075284,-900683.6073619998,5555870.0944346525,-5412.078652114334,-5692.578943666973,106.41979149284693
7.0,2025-10-25T21:12:06.179574Z,-3768016.3117473647,-905818.8198620396,5555926.890168101,-5407.27504624887,-5691.390509223356,99.36682667738569
8.0,2025-10-25T21:12:07.179575Z,-3773527.105696655,-910953.2335278714,5555983.68590155,-5402.471295865828,-5690.202805623236,92.31386186192447
9.0,2025-10-25T21:12:08.179576Z,-3779038.6684681913,-916086.8482746646,5556040.481634998,-5397.667401046248,-5689.015832881369,85.26089704646323
10.0,2025-10-25T21:12:09.179577Z,-3784550.99997476,-921219.6640175964,5556097.277368445,-5392.863361871182,-5687.829591012501,78.207932231002
11.0,2025-10-25T21:12:10.179578Z,-3790064.1001291387,-926351.6806718532,5556154.073101893,-5388.059178421676,-5686.644080031373,71.15496741554077
12.0,2025-10-25T21:12:11.179579Z,-3795577.968844095,-931482.898152629,5556210.868835341,-5383.254850778776,-5685.459299952713,64.10200260007953
13.0,2025-10-25T21:12:12.179580Z,-3801092.60603239,-936613.316375127,5556267.664568789,-5378.450379023537,-5684.275250791247,57.0490377846183
14.0,2025-10-25T21:12:13.179581Z,-3806608.011606776,-941742.9352545585,5556324.460302237,-5373.645763237008,-5683.091932561693,49.99607296915706
15.0,2025-10-25T21:12:14.179582Z,-3812124.1854799963,-946871.7547061435,5556381.256035686,-5368.841003500246,-5681.909345278755,42.943108153695825
