t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
0.0,1118997.0206669203,1086133.6216946233,6307237.579705925,-3374.576633737888,-3613.8002688460983,1223.0274371989071,-1.0619085049256682,-0.5290619563311338,-4.501584032550454
0.1,1118659.5630035466,1085772.2416677386,6307359.882449645,-3374.6828245883808,-3613.8531750417314,1222.577278795652,-1.5927485481347503,-0.7934655470262442,-6.752433837392573
0.2,1118322.0841020027,1085410.851059615,6307482.095161684,-3374.895183447515,-3613.9589619555036,1221.6769504314286,-2.1233602310530837,-1.0576144442893562,-9.003399335779248
0.30000000000000004,1117984.583966857,1085049.4498753475,6307604.217839731,-3375.1074966345914,-3614.0646979305893,1220.7765989284962,-2.122903522110846,-1.0571050632370316,-9.003630816002897
0.4,1117647.0626026758,1084688.0381200288,6307726.25048147,-3375.3197641519373,-3614.170382968151,1219.876224268228,-2.1224468015179814,-1.056595658888,-9.003862412645278
0.5,1117309.5200140267,1084326.615798754,6307848.193084585,-3375.531985994895,-3614.276017062367,1218.9758264459672,-2.121990104205907,-1.0560862778220328,-9.004094125702979
0.6,1116971.9562054768,1083965.1829166163,6307970.045646759,-3375.7441621727785,-3614.3816002237154,1218.0754054430874,-2.121533430181444,-1.0555769375059756,-9.004325908608736
0.7,1116634.371181592,1083603.7394787092,6308091.808165673,-3375.9562926809313,-3614.487132449868,1217.1749612642454,-2.121076721232385,-1.05506757972762,-9.004557714797558
0.7999999999999999,1116296.7649469406,1083242.2854901263,6308213.480639012,-3376.168377517025,-3614.592613739661,1216.274493900128,-2.120620023924858,-1.054558239411563,-9.004789707250895
0.8999999999999999,1115959.1375060887,1082880.8209559612,6308335.063064453,-3376.380416685716,-3614.6980440977504,1215.3740033227953,-2.1201633149757986,-1.0540489049162718,-9.005021862685682
0.9999999999999999,1115621.4888636034,1082519.3458813068,6308456.555439676,-3376.59241018002,-3614.803423520644,1214.4734895275908,-2.11970658273458,-1.0535395471265476,-9.005254041406944
1.0999999999999999,1115283.8190240527,1082157.860271257,6308577.957762359,-3376.804358002263,-3614.9087520071757,1213.5729525145139,-2.119249833028788,-1.0530301776975644,-9.005486313260459
1.2,1114946.127992003,1081796.3641309054,6308699.270030179,-3377.016260146626,-3615.0140295561837,1212.6723922649387,-2.1187930833434603,-1.0525208432136415,-9.005718724805538
1.3,1114608.4157720234,1081434.8574653459,6308820.492240812,-3377.228116618932,-3615.1192561758185,1211.7718087695528,-2.1183364093303663,-1.0520115669351062,-9.005951159633687
1.4000000000000001,1114270.6823686792,1081073.3402796702,6308941.624391933,-3377.439927428492,-3615.2244318695707,1210.871202033012,-2.1178797178436053,-1.0515022615436456,-9.006183734163633
1.5000000000000002,1113932.9277865377,1080711.812578972,6309062.666481218,-3377.6516925625006,-3615.329556628127,1209.97057202272,-2.117422950686885,-1.0509929270483545,-9.006416494958094
1.6000000000000003,1113595.1520301667,1080350.2743683446,6309183.6185063375,-3377.8634120186293,-3615.4346304549804,1209.0699187340203,-2.116966189350931,-1.0504836158361277,-9.006649255752555
1.7000000000000004,1113257.355104134,1079988.725652881,6309304.480464965,-3378.0750858003707,-3615.5396533512944,1208.1692421715695,-2.1165094512980414,-1.049974304623901,-9.006882132962337
